Names,total,elements,,
fF12 fF7 fM12 fM7,2,GO:0003700,,
,,GO:0008270,,
fF12 fF7 fM12,10,GO:0005509,,
,,GO:0046983,,
,,GO:0005829,,
,,GO:0045944,,
,,GO:0005654,,
,,GO:0000122,,
,,GO:0001701,,
,,GO:0048471,,
,,GO:0043231,,
,,GO:0005634,,
fF7 fM12 fM7,2,,,
,,GO:0008284,,
fF12 fM12 fM7,4,GO:0003677,,
,,GO:0006355,,
,,GO:0000981,,
,,GO:0005515,,
fF12 fF7,2,GO:0003676,,
,,GO:0045893,,
fF7 fM12,9,GO:0005737,,
,,GO:0004812,,
,,GO:0019901,,
,,GO:0061630,,
,,GO:0042803,,
,,GO:0043039,,
,,GO:0005524,,
,,GO:0016021,,
,,GO:0000166,,
fF12 fM7,2,GO:0048705,,
,,GO:0005887,,
fF12 fM12,27,GO:0005216,,
,,GO:0005886,,
,,GO:0043204,,
,,GO:0001654,,
,,GO:0001822,,
,,GO:0016020,,
,,GO:0006351,,
,,GO:0009952,,
,,GO:0001228,,
,,GO:0010629,,
,,GO:1990837,,
,,GO:0007420,,
,,GO:0042802,,
,,GO:0007219,,
,,GO:0001958,,
,,GO:0042127,,
,,GO:0010628,,
,,GO:0006811,,
,,GO:0000978,,
,,GO:0042475,,
,,GO:0001227,,
,,GO:0000977,,
,,GO:0010468,,
,,GO:0043565,,
,,GO:0006879,,
,,GO:0090575,,
,,GO:0005794,,
fM12 fM7,4,GO:0007165,,
,,GO:0005576,,
,,GO:0030183,,
,,GO:0009887,,
fF7,37,GO:0007140,,
,,GO:0045737,,
,,GO:0042147,,
,,GO:0043504,,
,,GO:0006974,,
,,GO:0007186,,
,,GO:0035091,,
,,GO:0004813,,
,,GO:0097422,,
,,GO:0006907,,
,,GO:0016500,,
,,GO:0019853,,
,,GO:0020037,,
,,GO:0006886,,
,,GO:0006264,,
,,GO:0006419,,
,,GO:0030904,,
,,GO:0004968,,
,,GO:0007399,,
,,GO:0008146,,
,,GO:0005739,,
,,GO:0031234,,
,,GO:0031901,,
,,GO:0070685,,
,,GO:0005741,,
,,GO:0034452,,
,,GO:0004341,,
,,GO:0030295,,
,,GO:0030234,,
,,GO:0006783,,
,,GO:0000002,,
,,GO:0000082,,
,,GO:0046628,,
,,GO:0004930,,
,,GO:0045860,,
,,GO:0008297,,
,,GO:0031313,,
fF12,121,GO:0030425,,
,,GO:0030199,,
,,GO:0032588,,
,,GO:0030203,,
,,GO:0043588,,
,,GO:0021853,,
,,GO:1902038,,
,,GO:0032713,,
,,GO:0035050,,
,,GO:0021846,,
,,GO:0060231,,
,,GO:0048844,,
,,GO:0048010,,
,,GO:1902257,,
,,GO:0050728,,
,,GO:0030001,,
,,GO:0009313,,
,,GO:0001756,,
,,GO:0032809,,
,,GO:0038084,,
,,GO:0021831,,
,,GO:0008283,,
,,GO:0048302,,
,,GO:0048341,,
,,GO:0031398,,
,,GO:0045618,,
,,GO:0071321,,
,,GO:0010718,,
,,GO:1904798,,
,,GO:0044325,,
,,GO:0001657,,
,,GO:0008301,,
,,GO:0001568,,
,,GO:1990841,,
,,GO:0000792,,
,,GO:0036438,,
,,GO:0097746,,
,,GO:0045930,,
,,GO:0001764,,
,,GO:0003016,,
,,GO:0003007,,
,,GO:0046622,,
,,GO:0016525,,
,,GO:0007517,,
,,GO:0072010,,
,,GO:0071805,,
,,GO:0008134,,
,,GO:0016477,,
,,GO:0035725,,
,,GO:0014031,,
,,GO:1990573,,
,,GO:0050884,,
,,GO:0032410,,
,,GO:0008047,,
,,GO:0048294,,
,,GO:0002829,,
,,GO:0000976,,
,,GO:0071320,,
,,GO:0007611,,
,,GO:0045619,,
,,GO:0007034,,
,,GO:0005222,,
,,GO:0048762,,
,,GO:0021772,,
,,GO:0008354,,
,,GO:1901534,,
,,GO:0006689,,
,,GO:0050877,,
,,GO:0007507,,
,,GO:0004563,,
,,GO:0021800,,
,,GO:0001503,,
,,GO:0036342,,
,,GO:0043388,,
,,GO:0008076,,
,,GO:0021549,,
,,GO:0045198,,
,,GO:0043583,,
,,GO:0071364,,
,,GO:0048644,,
,,GO:0051260,,
,,GO:0003682,,
,,GO:0055010,,
,,GO:0001541,,
,,GO:0001974,,
,,GO:0030900,,
,,GO:0050885,,
,,GO:0051224,,
,,GO:0048339,,
,,GO:0045211,,
,,GO:0098719,,
,,GO:0014032,,
,,GO:0005249,,
,,GO:0055085,,
,,GO:0001945,,
,,GO:0002761,,
,,GO:0019915,,
,,GO:0046620,,
,,GO:0042130,,
,,GO:0006813,,
,,GO:0044241,,
,,GO:1990869,,
,,GO:0070098,,
,,GO:0098855,,
,,GO:0001508,,
,,GO:0021759,,
,,GO:0042391,,
,,GO:0001501,,
,,GO:0043010,,
,,GO:0005938,,
,,GO:0042734,,
,,GO:0007411,,
,,GO:1903053,,
,,GO:0060038,,
,,GO:0050699,,
,,GO:0032808,,
,,GO:0072148,,
,,GO:0042755,,
,,GO:1901491,,
,,GO:0045732,,
,,GO:0005248,,
fM7,22,GO:0009953,,
,,GO:0007405,,
,,GO:0043524,,
,,GO:0097058,,
,,GO:0048295,,
,,GO:0042531,,
,,GO:0009968,,
,,GO:0097108,,
,,GO:0048711,,
,,GO:0005125,,
,,GO:0060441,,
,,GO:0009986,,
,,GO:0007166,,
,,GO:0003824,,
,,GO:0002639,,
,,GO:0007259,,
,,GO:0005102,,
,,GO:0030890,,
,,GO:0040036,,
,,GO:0097059,,
,,GO:0005127,,
,,GO:0045879,,
fM12,189,GO:0008083,,
,,GO:0021766,,
,,GO:0001525,,
,,GO:0008092,,
,,GO:0016607,,
,,GO:0030509,,
,,GO:0003924,,
,,GO:0006418,,
,,GO:0001922,,
,,GO:0045047,,
,,GO:0005730,,
,,GO:1903392,,
,,GO:0050776,,
,,GO:2001234,,
,,GO:0072189,,
,,GO:0004631,,
,,GO:0045603,,
,,GO:0005902,,
,,GO:0045665,,
,,GO:0043367,,
,,GO:0043021,,
,,GO:0034220,,
,,GO:0030137,,
,,GO:0009791,,
,,GO:0006821,,
,,GO:0004888,,
,,GO:0001570,,
,,GO:0045892,,
,,GO:0035265,,
,,GO:1900535,,
,,GO:0045806,,
,,GO:0034464,,
,,GO:0000062,,
,,GO:0006614,,
,,GO:0051930,,
,,GO:0050848,,
,,GO:0030534,,
,,GO:2000048,,
,,GO:0016567,,
,,GO:0046982,,
,,GO:0003323,,
,,GO:0005667,,
,,GO:0060586,,
,,GO:0030326,,
,,GO:0030278,,
,,GO:0001726,,
,,GO:0060930,,
,,GO:0006644,,
,,GO:0006955,,
,,GO:0008286,,
,,GO:0051216,,
,,GO:0048666,,
,,GO:0032873,,
,,GO:0050873,,
,,GO:0060931,,
,,GO:0003197,,
,,GO:0030539,,
,,GO:0033210,,
,,GO:0048535,,
,,GO:0005543,,
,,GO:0006954,,
,,GO:0003779,,
,,GO:0060395,,
,,GO:0048621,,
,,GO:0005198,,
,,GO:0060252,,
,,GO:0005783,,
,,GO:0007214,,
,,GO:0098833,,
,,GO:0001658,,
,,GO:0004860,,
,,GO:0043117,,
,,GO:0036116,,
,,GO:0030154,,
,,GO:0005694,,
,,GO:0035264,,
,,GO:0015937,,
,,GO:0032349,,
,,GO:0019221,,
,,GO:0071773,,
,,GO:0035556,,
,,GO:0016790,,
,,GO:0030225,,
,,GO:0005923,,
,,GO:0045095,,
,,GO:0042311,,
,,GO:0035591,,
,,GO:0005813,,
,,GO:0051015,,
,,GO:0001649,,
,,GO:0007601,,
,,GO:0070700,,
,,GO:0060271,,
,,GO:0021987,,
,,GO:0030036,,
,,GO:0019003,,
,,GO:0031018,,
,,GO:0006364,,
,,GO:0045494,,
,,GO:0004623,,
,,GO:0030325,,
,,GO:0033365,,
,,GO:0048706,,
,,GO:0008104,,
,,GO:0072657,,
,,GO:0001103,,
,,GO:0038108,,
,,GO:0036064,,
,,GO:0010862,,
,,GO:0048536,,
,,GO:0060736,,
,,GO:0001938,,
,,GO:0017101,,
,,GO:0050900,,
,,GO:0045669,,
,,GO:0071281,,
,,GO:0097320,,
,,GO:0050731,,
,,GO:0005068,,
,,GO:0001725,,
,,GO:0030942,,
,,GO:0016042,,
,,GO:0003198,,
,,GO:0006425,,
,,GO:0060296,,
,,GO:0035162,,
,,GO:0008312,,
,,GO:2001214,,
,,GO:0006641,,
,,GO:0048538,,
,,GO:0048565,,
,,GO:0051792,,
,,GO:0040018,,
,,GO:0045666,,
,,GO:0043491,,
,,GO:0032587,,
,,GO:0032991,,
,,GO:0098684,,
,,GO:0022008,,
,,GO:0048541,,
,,GO:0098907,,
,,GO:0005786,,
,,GO:0036114,,
,,GO:0006412,,
,,GO:0009954,,
,,GO:0014824,,
,,GO:0050851,,
,,GO:0048500,,
,,GO:0031666,,
,,GO:0036042,,
,,GO:0001776,,
,,GO:0004890,,
,,GO:0032420,,
,,GO:0001655,,
,,GO:0048854,,
,,GO:0019222,,
,,GO:0006469,,
,,GO:0045444,,
,,GO:0048537,,
,,GO:0002317,,
,,GO:0005230,,
,,GO:0031410,,
,,GO:0048568,,
,,GO:0050482,,
,,GO:0007015,,
,,GO:0051017,,
,,GO:0030851,,
,,GO:0040015,,
,,GO:0060842,,
,,GO:0006695,,
,,GO:0005884,,
,,GO:0006508,,
,,GO:0043001,,
,,GO:0005525,,
,,GO:0003755,,
,,GO:0004819,,
,,GO:0044321,,
,,GO:0031514,,
,,GO:0016290,,
,,GO:0004252,,
,,GO:0048488,,
,,GO:0060391,,
,,GO:1905515,,
,,GO:0030501,,
,,GO:0007288,,
,,GO:0010971,,
,,GO:0021756,,
,,GO:0022612,,
,,GO:0050679,,